label                    , accuracy          , precision         , recall            , f1                , mcc                , mae               , exact_rate        , specificity       , balanced_accuracy , species
logistic_regression_codon, 0.6742081447963801, 0.5213930348258706, 0.9579524680073126, 0.6752577319587629, 0.4779539877282411 , 10.110687022900764, 0.7751371115173674, 0.519             , 0.7384762340036564, Worm (Nematode - Unseen Clade)
logistic_regression_codon, 0.7141971481711097, 0.573076923076923 , 0.9722675367047308, 0.721113127646703 , 0.5357845421818909 ,  8.375838926174497, 0.8254486133768353, 0.556             , 0.7641337683523655, GUE C. elegans Histone (Nematode)
meta_router              , 0.9064885496183206, 0.2549019607843137, 0.5416666666666666, 0.3466666666666667, 0.3284355173255287 ,  3.807692307692308, 0.4791666666666667, 0.924             , 0.7328333333333333, Human (Mammal - Held-out Region)
meta_router              , 0.923535253227408 , 0.0512820512820512, 0.5714285714285714, 0.0941176470588235, 0.1546053749767881 ,  5.25             , 0.4285714285714285, 0.926             , 0.7487142857142857, Mouse (Mammal - Held-out Region)
meta_router              , 0.741751269035533 , 0.7682539682539683, 0.4201388888888889, 0.5432098765432098, 0.4180244562019475 ,  5.491735537190083, 0.3559027777777778, 0.927             , 0.6735694444444444, Arabidopsis (Plant - Held-out Region)
meta_router              , 0.7001795332136446, 0.8425925925925926, 0.3775933609958506, 0.5214899713467048, 0.4057778621905902 ,  6.197802197802198, 0.3360995850622407, 0.9462025316455696, 0.6618979463207102, Yeast (Fungi - Unseen Clade)
meta_router              , 0.7362637362637363, 0.7372013651877133, 0.3948811700182815, 0.5142857142857142, 0.3878607988318156 , 10.166666666666666, 0.336380255941499 , 0.923             , 0.6589405850091408, Worm (Nematode - Unseen Clade)
meta_router              , 0.7309361438313701, 0.7753846153846153, 0.4110929853181077, 0.5373134328358209, 0.4091351432676892 ,  8.857142857142858, 0.3556280587275693, 0.927             , 0.6690464926590538, GUE C. elegans Histone (Nematode)
naive                    , 0.0763358778625954, 0.0472440944881889, 1.0               , 0.0902255639097744, 0.0388820141405    , 32.625            , 0.5416666666666666, 0.032             , 0.516             , Human (Mammal - Held-out Region)
naive                    , 0.0178748758689175, 0.0070281124497991, 1.0               , 0.0139581256231306, 0.0087925671420689 , 68.14285714285714 , 0.1428571428571428, 0.011             , 0.5055            , Mouse (Mammal - Held-out Region)
naive                    , 0.3794416243654822, 0.3706563706563706, 1.0               , 0.5408450704225352, 0.0903019388188324 , 33.375            , 0.5329861111111112, 0.022             , 0.511             , Arabidopsis (Plant - Held-out Region)
